[2026-07-21T09:27:39Z] PHYSICS GATE: VRAM free < 16GB floor -> lens load withheld.
nvidia-smi (total,used,free MiB):
32607 MiB, 31649 MiB, 539 MiB
ollama ps:
NAME            ID              SIZE     PROCESSOR          CONTEXT    UNTIL   
llama3.3:70b    a6eb4748fd29    86 GB    64%/36% CPU/GPU    16384      Forever    
NOTE: llama3.3:70b pinned UNTIL Forever (not mistral-sim). Delegate does NOT evict (harness blocks ollama stop; possible colleague run). Awaiting PI to free VRAM from their terminal.
---
[10:29:19Z] waiting: 688MiB free (<16384 floor)
[10:29:50Z] waiting: 688MiB free (<16384 floor)
[10:30:20Z] waiting: 689MiB free (<16384 floor)
[10:30:50Z] waiting: 689MiB free (<16384 floor)
[10:31:20Z] waiting: 689MiB free (<16384 floor)
[10:31:50Z] waiting: 689MiB free (<16384 floor)
[10:32:20Z] waiting: 689MiB free (<16384 floor)
[10:32:50Z] waiting: 689MiB free (<16384 floor)
[10:33:20Z] waiting: 689MiB free (<16384 floor)
[10:33:50Z] waiting: 689MiB free (<16384 floor)
[10:34:20Z] waiting: 689MiB free (<16384 floor)
[10:34:50Z] waiting: 689MiB free (<16384 floor)
[10:35:20Z] waiting: 689MiB free (<16384 floor)
[10:35:51Z] waiting: 689MiB free (<16384 floor)
[10:36:21Z] waiting: 689MiB free (<16384 floor)
[10:36:51Z] TIMEOUT 60m: VRAM still blocked
[10:41:51Z] still waiting: 670MiB free (<16384)
[10:46:52Z] still waiting: 664MiB free (<16384)
[10:51:53Z] still waiting: 674MiB free (<16384)
[10:56:54Z] still waiting: 673MiB free (<16384)
[11:01:55Z] still waiting: 673MiB free (<16384)
[11:06:56Z] still waiting: 673MiB free (<16384)
[11:11:57Z] still waiting: 673MiB free (<16384)
[11:16:58Z] still waiting: 673MiB free (<16384)
[11:21:58Z] still waiting: 668MiB free (<16384)
[11:26:59Z] still waiting: 673MiB free (<16384)
[11:32:00Z] still waiting: 673MiB free (<16384)
[11:37:01Z] still waiting: 641MiB free (<16384)
[11:40:32Z] VRAM FREE 30128MiB >=16384 -> gate open, proceeding
[2026-07-21T12:33:48Z] PHYSICS GATE still blocked (transient window missed).
nvidia-smi total,used,free MiB:
32607 MiB, 27311 MiB, 4877 MiB
ollama ps:
NAME                  ID              SIZE     PROCESSOR    CONTEXT    UNTIL   
mistral-sim:latest    99daa9f77b01    24 GB    100% GPU     8192       Forever    
NOTE: llama3.3:70b freed briefly -> mistral-sim (colleague's, 24GB) AUTO-RELOADED into the gap (documented residual). 4877MiB free. Need a SUSTAINED ~2h window; PI coordinates with colleague. Delegate does not evict.
---
[12:38:24Z] waiting: 4896MiB free (stable_count=0)
[12:41:24Z] VRAM STABLY FREE 30104MiB x3 -> gate open
