contrast,vs_bar_index,diff,ci95_lo,ci95_hi,p_two_sided
A1,1,0.03852129126488095,0.02586701298272072,0.05117556954704118,4.117485569041254e-06
A2,2,0.08154932435276209,0.061867253521998705,0.10123139518352547,4.9559222551108096e-08
C1,3,0.20882630524999998,0.17224349494291813,0.24540911555708184,8.376501315571893e-10
